,trial_id,comp_date,trial_status
0,ChiCTR2000032165,2021-03-31,Completed
1,ChiCTR2000034825,2020-12-31,Completed
2,ChiCTR2000031672,2020-12-31,Not yet recruiting
3,ChiCTR2000031955,2020-12-31,Completed
4,ChiCTR2000031501,2020-07-17,Suspending
5,ChiCTR2000029572,2021-04-30,Not yet recruiting
6,ChiCTR2000029569,2021-04-30,Not yet recruiting
7,ChiCTR2000030522,2020-09-09,Completed
8,ChiCTR2000039715,2021-12-17,Not yet recruiting
9,ChiCTR2000039640,2021-11-29,Recruiting
10,ChiCTR2000039592,2020-10-13,Completed
11,ChiCTR2000039462,2022-04-26,Not yet recruiting
12,ChiCTR2000039212,2021-12-31,Not yet recruiting
13,ChiCTR2000039000,2020-12-31,Recruiting
14,ChiCTR2000038866,2021-12-31,Not yet recruiting
15,ChiCTR2000038827,2021-12-02,Not yet recruiting
16,ChiCTR2000038740,2021-08-01,Not yet recruiting
17,ChiCTR2000037782,2021-10-01,Not yet recruiting
18,ChiCTR2000037524,2020-12-31,Not yet recruiting
19,ChiCTR2000037518,2021-08-28,Not yet recruiting
20,ChiCTR2000036871,2021-04-24,Not yet recruiting
21,ChiCTR2000036333,2020-04-30,Completed
22,ChiCTR2000038152,2021-09-13,Recruiting
23,ChiCTR2000038256,2020-12-31,Recruiting
24,ChiCTR2000038255,2020-12-31,Recruiting
25,ChiCTR2000038672,2021-08-05,Not yet recruiting
26,ChiCTR2000038343,2021-08-01,Recruiting
27,ChiCTR2000038333,2021-09-01,Recruiting
