,trial_id,results_status,countries,global_trial_end_dates,status_list,secondary_ids
0,2020-000890-25,(No results available),['FR'],[None],['Ongoing'],{'spon_id': '202002102'}
1,2020-000919-69,(No results available),['NL'],[None],['Ongoing'],{'spon_id': '73249'}
2,2020-001301-23,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'APHP200387'}
3,2020-001381-11,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'APHP200409'}
4,2020-001442-19,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'IIBSP-COV-2020-23'}
5,2020-001385-11,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'PrEP_COVID_19'}
6,2020-001409-21,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'IMIB-DFC-2020-02'}
7,2020-001492-33,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'CGE_2020_9'}
8,2020-001194-69,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'MEFLOCOVID-19'}
9,2020-001565-37,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'PrEP_COVID'}
10,2020-001421-31,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'QUINAVID-19'}
11,2020-001606-33,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'HIACO-19'}
12,2020-001307-16,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'SIC'}
13,2020-001156-18,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'PanCOVID19'}
14,2020-001160-28,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'MedOPP376'}
15,2020-001262-11,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'FJD-COVID19-20-01'}
16,2020-001290-74,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'SARICOVID'}
17,2020-001406-27,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'RECHMPL20-168'}
18,2020-001321-31,(No results available),['ES'],[None],['Ongoing'],{'spon_id': '24032020'}
19,2020-001437-12,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'COVID-19_ASS'}
20,2020-001587-29,(No results available),['ES'],[None],['Ongoing'],{'spon_id': '02/04/2020-001'}
21,2020-001689-12,(No results available),"['ES', 'GB', 'FR', 'GR']","[None, None, None, None]","['Ongoing', 'GB - no longer in EU/EEA', 'Ongoing', 'Ongoing']","{'nct_id': 'NCT04322682', 'spon_id': 'MHIPS-2020-001'}"
22,2020-001379-34,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'SEVO-COVID19'}
23,2020-001511-25,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'IMIB-COLVID-2020-03'}
24,2020-001266-11,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'BALMYS-19'}
25,2020-001570-30,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'D20-P013'}
26,2020-001329-30,(No results available),['AT'],[None],['Ongoing'],{'spon_id': '2020P000787'}
27,2020-001527-14,(No results available),['NL'],[None],['Ongoing'],{'spon_id': '1'}
28,2020-001255-40,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'STRIKE-SARS-CoV2'}
29,2020-001659-42,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'ANTITROMBINA'}
30,2020-001440-26,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'PrevenCOVID-19'}
31,2020-001459-42,(No results available),['DK'],[None],['Ongoing'],{'spon_id': '26223678Hans'}
32,2020-001500-41,(No results available),['BE'],[None],['Ongoing'],{'spon_id': 'COV-AID'}
33,2020-001723-13,(No results available),['FR'],[None],['Ongoing'],{'spon_id': '405'}
34,2020-001823-15,(No results available),['FR'],[None],['Ongoing'],{'spon_id': '20CH089'}
35,2020-001717-20,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'COVIDIOL'}
36,2020-001700-42,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'APHP200410'}
37,2020-001635-27,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'AB20001'}
38,2020-001766-11,(No results available),['FR'],[None],['Ongoing'],{'spon_id': '2020-24'}
39,2020-001709-21,(No results available),['FR'],[None],['Ongoing'],{'spon_id': '2020PI073'}
40,2020-001768-27,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'P20/07'}
41,2020-001598-66,(No results available),['FR'],[None],['Ongoing'],{'spon_id': 'P20/06'}
42,2020-001786-36,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': 'ILIAD-7-UK-Cohort'}
43,2020-001783-28,(No results available),['HU'],[None],['Ongoing'],{'spon_id': 'BCG-COVID_HU_001'}
44,2020-001805-21,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': 'RA486120'}
45,2020-001614-38,(No results available),['BE'],[None],['Ongoing'],{'spon_id': 'S63935'}
46,2020-001644-25,(No results available),"['FR', 'DE', 'ES', 'SE', 'IT']","[None, '2020-11-17', None, '2020-11-17', None]","['Ongoing', 'Completed', 'Ongoing', 'Completed', 'Ongoing']",{'spon_id': 'D822FC00001/ACE-ID-201'}
47,2020-001573-78,(No results available),['FR'],[None],['Ongoing'],{'spon_id': '87RI20_0012'}
48,2020-001754-21,(No results available),['FR'],[None],['Ongoing'],{'spon_id': '2020-23'}
49,2020-001536-98,(No results available),['ES'],['2020-04-27'],['Prematurely Ended'],{'spon_id': 'PREPSARS'}
50,2020-001673-75,(No results available),"['FR', 'DE', 'GB', 'ES', 'IT']","[None, None, None, None, None]","['Ongoing', 'Ongoing', 'GB - no longer in EU/EEA', 'Ongoing', 'Ongoing']",{'spon_id': 'ABX464-401'}
51,2020-001497-30,(No results available),"['GB', 'FR', 'DE', 'ES']","[None, None, None, None]","['GB - no longer in EU/EEA', 'Ongoing', 'Ongoing', 'Ongoing']",{'spon_id': 'ALXN1210-COV-305'}
52,2020-001597-30,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': 'MRx-4DP0004-II-001'}
53,2020-002111-22,(No results available),['PL'],[None],['Ongoing'],{'spon_id': 'BCG/COVID-19/UR/04/2020'}
54,2020-001849-39,(No results available),['SE'],[None],['Ongoing'],{'spon_id': 'NETs-C19'}
55,2020-001951-42,(No results available),['PL'],[None],['Ongoing'],{'spon_id': 'ReCOVery-SIRIO'}
56,2020-002130-33,(No results available),['BE'],[None],['Ongoing'],{'spon_id': 'ZILU-COV'}
57,2020-001257-51,(No results available),['DK'],[None],['Temporarily Halted'],{'spon_id': '220322020'}
58,2020-001363-85,(No results available),['DK'],[None],['Prematurely Ended'],{'spon_id': '60152610\u202c'}
59,2020-001411-25,(No results available),"['DE', 'FR', 'AT', 'GB', 'ES', 'IT']","[None, None, None, None, None, None]","['Prematurely Ended', 'Completed', 'Prematurely Ended', 'GB - no longer in EU/EEA', 'Temporarily Halted', 'Prematurely Ended']",{'spon_id': 'XPORT-COV-1001'}
60,2020-001264-28,(No results available),"['DE', 'BG', 'GR', 'HU']","[None, None, None, None]","['Ongoing', 'Ongoing', 'Ongoing', 'Ongoing']","{'nct_id': 'NCT04379271', 'spon_id': 'P2-IMU-838-COV'}"
61,2020-001937-11,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': '132333'}
62,2020-001243-15,View results,['BE'],['2020-06-10'],['Completed'],{'spon_id': 'S63874'}
63,2020-001636-95,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': '282110'}
64,2020-001889-10,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': 'STOIC'}
65,2020-002120-37,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': 'RESP301-002'}
66,2020-002233-15,(No results available),['DE'],[None],['Ongoing'],{'spon_id': 'NICCAM-001'}
67,2020-001497-30,(No results available),"['GB', 'FR', 'DE', 'ES']","[None, None, None, None]","['GB - no longer in EU/EEA', 'Ongoing', 'Ongoing', 'Ongoing']",{'spon_id': 'ALXN1210-COV-305'}
68,2020-001767-86,(No results available),['IE'],[None],['Ongoing'],{'spon_id': 'COVIRL-002'}
69,2020-001777-71,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': 'RAVEN'}
70,2020-001501-24,(No results available),['IT'],[None],['Ongoing'],{'spon_id': 'IRST100.47'}
71,2020-001390-76,(No results available),['IT'],[None],['Ongoing'],{'spon_id': 'ESCAPE'}
72,2020-001528-32,(No results available),['IT'],[None],['Ongoing'],{'spon_id': 'ARCO-Homestudy'}
73,2020-001987-28,(No results available),['IT'],[None],['Ongoing'],{'spon_id': 'PRECOV'}
74,2020-001921-30,(No results available),['IT'],[None],['Ongoing'],{'spon_id': 'STAUNCH-19'}
75,2020-001795-15,(No results available),['IT'],[None],['Ongoing'],{'spon_id': 'COMBAT-19'}
76,2020-001854-23,(No results available),['IT'],[None],['Ongoing'],{'spon_id': 'AMMURAVID'}
77,2020-001271-33,(No results available),['FR'],[None],['Completed'],{'spon_id': '49RC20_0071'}
78,2020-001375-32,(No results available),['NL'],[None],['Ongoing'],{'spon_id': 'PreToVid'}
79,2020-001411-25,(No results available),"['DE', 'FR', 'AT', 'GB', 'ES', 'IT']","[None, None, None, None, None, None]","['Prematurely Ended', 'Completed', 'Prematurely Ended', 'GB - no longer in EU/EEA', 'Temporarily Halted', 'Prematurely Ended']",{'spon_id': 'XPORT-COV-1001'}
80,2020-001325-31,(No results available),['NL'],[None],['Ongoing'],{'spon_id': 'NL73551.091.20'}
81,2020-001270-29,View results,"['DK', 'CZ', 'DE', 'GB', 'FR']","['2020-06-22', None, '2020-06-25', '2020-06-25', '2020-06-25']","['Prematurely Ended', 'Prematurely Ended', 'Prematurely Ended', 'Prematurely Ended', 'Prematurely Ended']",{'spon_id': 'EFC16858'}
82,2020-001198-55,(No results available),['DK'],[None],['Ongoing'],{'spon_id': 'KronLungesyg_COVID_19_protokol_2'}
83,2020-001750-22,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': '20HH5926'}
84,2020-001504-42,(No results available),"['FR', 'BE']","[None, None]","['Ongoing', 'Ongoing']",{'spon_id': 'MOT-C-204'}
85,2020-001747-21,(No results available),['PT'],[None],['Ongoing'],{'spon_id': 'ISPUP2020CT1'}
86,2020-002106-68,(No results available),['GB'],[None],['GB - no longer in EU/EEA'],{'spon_id': 'CTU/2020/354'}
87,2020-001808-42,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'PHM-2020-001'}
88,2020-002193-27,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'COVID-AT'}
89,2020-001765-37,(No results available),['ES'],['2020-06-26'],['Prematurely Ended'],{'spon_id': 'PROTOCOLO/ICO/COVID20'}
90,2020-001707-16,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'TOCICOVID'}
91,2020-001890-56,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'COVID-Γ'}
92,2020-001794-77,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'SilCOVID19'}
93,2020-001929-31,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'ESCORPIO'}
94,2020-002186-34,(No results available),['ES'],[None],['Ongoing'],{'spon_id': 'MP_COVID19'}
