db_id,HCQ,IVE,CP
tri00002,0,0,0
tri00005,0,0,0
tri00006,0,0,0
tri00010,0,0,0
tri00011,0,0,0
tri00012,0,0,0
tri00013,0,0,0
tri00019,0,0,0
tri00020,0,0,0
tri00022,0,0,0
tri00024,0,0,0
tri00026,0,0,0
tri00028,0,0,0
tri00030,0,0,0
tri00031,0,0,0
tri00034,0,0,0
tri00037,0,0,0
tri00039,0,0,0
tri00043,0,0,0
tri00044,0,0,0
tri00045,0,0,0
tri00046,0,0,0
tri00047,0,0,0
tri00049,0,0,0
tri00054,0,0,0
tri00055,0,0,0
tri00056,0,0,0
tri00062,0,0,0
tri00065,0,0,0
tri00070,0,0,0
tri00071,0,0,0
tri00073,0,0,0
tri00074,0,0,0
tri00075,0,0,0
tri00076,0,0,0
tri00077,0,0,0
tri00080,2,0,0
tri00082,0,0,0
tri00083,0,0,0
tri00084,0,0,0
tri00085,0,0,0
tri00086,0,0,0
tri00087,0,0,0
tri00088,0,0,0
tri00091,0,0,0
tri00092,0,0,0
tri00100,0,0,0
tri00101,0,0,0
tri00102,0,0,0
tri00105,0,0,0
tri00106,0,0,0
tri00107,0,0,0
tri00108,0,0,0
tri00109,0,0,0
tri00112,0,0,0
tri00113,0,0,0
tri00114,0,0,0
tri00115,0,0,0
tri00116,0,0,0
tri00118,0,0,0
tri00123,0,0,0
tri00125,0,0,0
tri00126,0,0,0
tri00132,0,0,0
tri00137,0,0,0
tri00139,1,0,0
tri00140,0,0,1
tri00141,0,0,0
tri00142,0,0,0
tri00143,0,0,1
tri00144,0,0,0
tri00145,0,0,0
tri00148,0,0,0
tri00149,0,0,0
tri00157,0,0,1
tri00159,0,0,0
tri00160,0,0,0
tri00162,0,0,0
tri00163,0,0,0
tri00164,0,0,0
tri00167,0,0,0
tri00169,0,0,0
tri00170,1,0,0
tri00171,0,0,0
tri00172,0,0,0
tri00173,0,0,0
tri00176,0,0,0
tri00177,0,0,0
tri00178,0,0,0
tri00179,0,0,0
tri00182,0,0,0
tri00185,0,0,0
tri00186,2,0,0
tri00187,0,0,0
tri00188,0,0,0
tri00189,1,0,0
tri00191,0,0,0
tri00192,0,0,0
tri00193,0,0,0
tri00202,0,0,0
tri00205,0,0,0
tri00220,0,0,0
tri00222,0,0,0
tri00227,0,0,0
tri00230,0,0,0
tri00232,0,0,0
tri00233,0,0,0
tri00235,0,0,0
tri00238,0,0,0
tri00241,0,0,0
tri00242,0,0,0
tri00243,0,0,0
tri00244,0,0,0
tri00248,0,0,0
tri00249,0,0,0
tri00250,0,0,0
tri00251,0,0,0
tri00254,1,0,0
tri00255,1,0,0
tri00261,0,0,0
tri00263,0,0,0
tri00264,0,0,0
tri00265,0,0,0
tri00267,0,0,0
tri00269,0,0,0
tri00270,0,0,1
tri00285,0,0,0
tri00286,0,0,0
tri00288,0,0,0
tri00293,0,0,0
tri00295,0,0,0
tri00297,0,0,0
tri00299,0,0,0
tri00300,0,0,0
tri00301,0,0,0
tri00302,0,0,0
tri00303,0,0,0
tri00304,0,0,0
tri00305,0,0,0
tri00306,0,0,0
tri00317,0,0,0
tri00319,0,0,1
tri00320,0,0,0
tri00324,0,0,0
tri00327,0,0,0
tri00328,0,0,0
tri00329,0,0,0
tri00335,0,0,0
tri00336,0,0,0
tri00343,0,0,0
tri00352,0,0,0
tri00354,0,0,0
tri00358,0,0,0
tri00361,0,0,0
tri00362,0,0,0
tri00373,0,0,0
tri00378,0,0,0
tri00390,0,0,0
tri00392,0,0,0
tri00397,0,0,0
tri00399,0,0,0
tri00407,0,0,0
tri00409,0,0,0
tri00418,0,0,0
tri00424,0,0,0
tri00425,0,0,1
tri00426,0,0,0
tri00427,0,0,0
tri00440,0,0,0
tri00453,0,0,0
tri00473,0,0,0
tri00476,0,0,0
tri00482,0,0,0
tri00483,0,0,0
tri00502,0,0,0
tri00503,0,0,0
tri00507,0,0,0
tri00512,0,0,1
tri00513,0,0,0
tri00521,0,0,0
tri00526,1,0,0
tri00529,0,0,0
tri00530,0,0,0
tri00534,0,0,0
tri00535,0,0,0
tri00536,0,0,0
tri00537,0,0,0
tri00538,0,0,0
tri00543,0,0,0
tri00546,0,0,0
tri00549,0,0,0
tri00552,0,0,0
tri00569,0,0,0
tri00574,0,0,0
tri00582,0,0,0
tri00585,0,0,0
tri00588,0,0,0
tri00590,0,0,0
tri00593,0,0,0
tri00594,0,0,0
tri00596,0,0,0
tri00598,0,0,0
tri00601,0,0,0
tri00606,0,0,0
tri00609,0,0,0
tri00610,0,0,0
tri00612,0,0,0
tri00613,0,0,0
tri00623,0,0,0
tri00632,0,0,1
tri00635,0,0,0
tri00651,0,0,0
tri00654,0,0,0
tri00656,0,0,0
tri00663,0,0,0
tri00666,0,0,1
tri00668,2,0,0
tri00672,1,0,0
tri00675,0,0,0
tri00677,0,0,0
tri00679,0,0,0
tri00685,0,0,0
tri00692,0,0,0
tri00699,0,0,0
tri00705,0,0,0
tri00712,0,0,0
tri00722,0,0,0
tri00728,0,0,0
tri00731,0,0,0
tri00732,1,0,0
tri00735,0,0,0
tri00738,0,0,0
tri00739,0,0,0
tri00740,0,0,0
tri00744,0,0,0
tri00745,0,0,0
tri00748,0,0,0
tri00753,0,0,0
tri00755,0,0,0
tri00756,1,0,0
tri00757,0,0,0
tri00759,0,0,0
tri00762,0,0,0
tri00763,1,0,0
tri00766,0,0,0
tri00767,0,0,0
tri00770,0,0,0
tri00776,0,0,0
tri00781,4,0,0
tri00782,0,0,0
tri00787,0,0,0
tri00789,0,0,0
tri00798,1,0,0
tri00801,0,0,0
tri00807,0,0,0
tri00808,0,0,0
tri00810,0,0,0
tri00812,0,0,0
tri00816,0,0,0
tri00820,0,0,0
tri00822,0,0,0
tri00829,0,0,0
tri00830,0,0,0
tri00836,2,0,0
tri00842,1,0,0
tri00845,0,0,0
tri00862,1,0,0
tri00877,0,0,0
tri00884,0,0,0
tri00892,0,0,0
tri00893,0,0,0
tri00894,0,0,0
tri00895,0,0,0
tri00896,0,0,0
tri00897,0,0,0
tri00900,1,0,0
tri00901,1,0,0
tri00902,0,0,0
tri00904,0,0,0
tri00906,0,0,0
tri00908,0,0,0
tri00912,0,0,0
tri00913,0,0,0
tri00914,0,0,0
tri00916,0,0,0
tri00919,0,0,0
tri00920,0,0,0
tri00921,0,0,0
tri00931,0,0,0
tri00933,1,0,0
tri00935,0,0,0
tri00937,0,0,0
tri00938,0,0,0
tri00944,0,0,0
tri00949,2,0,0
tri00950,0,0,1
tri00952,0,0,0
tri00953,0,0,0
tri00954,0,0,0
tri00960,0,0,0
tri00962,0,0,1
tri00966,0,0,0
tri00975,0,0,0
tri00985,0,0,0
tri00986,2,0,0
tri00988,0,0,0
tri00992,0,0,0
tri00993,0,0,0
tri00995,0,0,1
tri00996,0,0,0
tri00997,5,0,1
tri01002,0,0,0
tri01003,0,0,0
tri01004,0,0,0
tri01005,0,0,0
tri01006,0,0,0
tri01010,1,0,0
tri01014,0,0,0
tri01017,0,0,0
tri01021,0,0,0
tri01029,0,0,0
tri01030,0,0,0
tri01036,0,0,0
tri01040,0,0,0
tri01048,0,0,0
tri01051,0,0,0
tri01053,0,0,0
tri01054,0,0,0
tri01055,0,0,0
tri01062,0,0,0
tri01068,0,0,0
tri01071,0,0,0
tri01076,0,0,0
tri01078,1,0,0
tri01079,0,0,0
tri01081,1,0,0
tri01085,1,0,0
tri01092,0,0,0
tri01094,1,0,0
tri01096,0,0,0
tri01097,0,0,0
tri01098,0,0,1
tri01099,0,0,1
tri01100,0,0,0
tri01101,0,0,0
tri01107,0,0,0
tri01108,0,0,0
tri01109,2,0,0
tri01114,0,0,1
tri01116,0,0,0
tri01119,1,0,0
tri01122,0,0,0
tri01123,1,0,0
tri01125,0,0,0
tri01127,1,0,0
tri01128,1,0,0
tri01129,0,0,0
tri01131,1,0,0
tri01132,2,0,0
tri01135,0,0,0
tri01147,0,0,1
tri01149,0,0,0
tri01153,0,0,0
tri01154,0,0,0
tri01155,0,0,0
tri01157,0,0,0
tri01161,0,0,0
tri01164,0,0,0
tri01167,0,0,0
tri01168,0,0,0
tri01170,0,0,0
tri01171,0,0,0
tri01172,0,0,0
tri01174,2,0,0
tri01179,1,0,0
tri01182,0,1,0
tri01185,0,0,0
tri01193,0,0,0
tri01195,1,0,0
tri01197,0,0,0
tri01201,0,0,0
tri01208,0,0,0
tri01222,0,0,0
tri01224,0,0,0
tri01227,0,0,0
tri01228,0,0,1
tri01230,0,0,0
tri01234,0,0,0
tri01239,0,0,0
tri01241,0,0,0
tri01243,1,0,0
tri01246,0,0,0
tri01249,1,0,0
tri01258,0,0,0
tri01260,0,0,0
tri01263,1,0,0
tri01265,1,0,0
tri01273,0,0,0
tri01275,0,0,0
tri01277,0,0,0
tri01279,0,0,0
tri01280,1,0,0
