,trial_id,last_updated,trial_status,pcd,scd,results_status
0,KCT0004907,2020-04-02,Recruiting,,,No
1,KCT0005105,2020-06-10,Recruiting,2021-04-16,2021-04-16,No
2,KCT0005005,2020-05-10,Not yet recruiting,2020-07-31,2020-12-31,No
3,KCT0005003,2020-05-07,Not yet recruiting,2021-03-31,2021-04-21,No
4,KCT0003331,2018-11-01,Recruiting,2018-10-18,2018-12-31,No
5,KCT0002700,2018-02-02,Recruiting,2018-06-01,2018-06-01,No
6,KCT0002336,2017-04-06,Completed,2017-02-01,2017-02-10,
7,KCT0005096,2020-06-06,Recruiting,2021-04-30,2021-04-30,No
8,KCT0005307,2020-08-04,Recruiting,2021-11-30,2021-11-30,No
9,KCT0005226,2020-07-08,Completed,2020-04-24,2020-04-27,"Yes
									
								
								Published"
10,KCT0005634,2020-11-10,Completed,2020-06-30,2020-10-30,No
11,KCT0005344,2021-08-12,Completed,2021-02-04,2021-02-15,No
12,KCT0005649,2022-01-11,Completed,2021-01-22,2021-02-28,"Yes
									
								
								
								Results Upload"
13,KCT0005711,2021-09-07,Completed,2021-03-19,2021-05-31,No
14,KCT0005907,2021-02-04,Recruiting,2021-02-22,2022-01-27,No
15,KCT0005834,2021-02-08,Recruiting,2021-05-12,2021-05-12,No
16,KCT0005896,2021-12-29,Completed,2020-10-22,2021-04-05,"Yes
									
								
								
								Results Upload"
17,KCT0006152,2021-04-30,Not yet recruiting,2021-12-31,2023-01-31,No
18,KCT0006252,2021-07-27,Recruiting,,,No
